Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1980","1980","kg/pc","5.28","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1980","1980","kg/1000 Int.$","29.08","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1981","1981","t","4068700","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1981","1981","kg/ha","24.16","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1981","1981","kg/pc","5.71","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1981","1981","kg/1000 Int.$","29.97","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1982","1982","t","4042900","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1982","1982","kg/ha","23.96","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1982","1982","kg/pc","5.54","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1982","1982","kg/1000 Int.$","30.05","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1983","1983","t","4637300","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1983","1983","kg/ha","27.52","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1983","1983","kg/pc","6.22","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1983","1983","kg/1000 Int.$","30.94","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1984","1984","t","5333300","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1984","1984","kg/ha","31.48","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1984","1984","kg/pc","6.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1984","1984","kg/1000 Int.$","34.84","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1985","1985","t","5750000","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1985","1985","kg/ha","33.96","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1985","1985","kg/pc","7.37","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1985","1985","kg/1000 Int.$","36.74","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1986","1986","t","6528700","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1986","1986","kg/ha","38.54","E","Estimated value",""
